ticker,shares,total_cost,month,type,realized_gain
PLTR,0.0052,0.41,2024-12,buy,
OSTX,1.0,5.59,2024-12,buy,
LPTH,1.0,3.54,2024-12,buy,
CISO,2.0,5.78,2024-12,buy,
LITM,3.0,4.67,2024-12,buy,
FSLR,0.02386,4.0,2025-01,buy,
LMB,0.041171,4.0,2025-01,buy,
MTZ,0.02721,4.01,2025-01,buy,
INDB,0.006,0.4,2025-01,buy,
TSLA,0.00619,2.51,2025-01,buy,
INTR,0.565,2.46,2025-01,buy,
ATAT,0.1587,3.96,2025-01,buy,
PLTR,0.0052,0.41,2025-01,sell,0.0
CISO,2.0,2.5,2025-01,sell,-3.28
LITM,3.0,2.44,2025-01,sell,-2.23
LPTH,1.0,3.97,2025-01,sell,0.43
FLUT,0.00013,0.04,2025-02,buy,
MU,0.04231,4.0,2025-02,buy,
FLUT,3.8e-05,0.01,2025-02,buy,
FLUT,0.015182,3.99,2025-02,buy,
INTR,0,0.05,2025-02,dividend,
FR,0.0698,4.01,2025-03,buy,
WELL,0.0272,4.0,2025-03,buy,
CTRE,0.1572,4.02,2025-03,buy,
SCHG,0.1521,4.03,2025-03,buy,
QQQ,0.008,3.99,2025-03,buy,
VOO,6e-05,0.03,2025-04,buy,
ATAT,0.002,0.05,2025-04,buy,
IBIT,0.4189,20.01,2025-04,buy,
VTI,0.01498,4.0,2025-04,buy,
ATAT,0.14059,4.0,2025-04,buy,
INTR,0.70681,4.0,2025-04,buy,
VOO,0.008,4.0,2025-04,buy,
RAND,0.20809,4.01,2025-04,buy,
QQQ,0,0.01,2025-04,dividend,
FR,0,0.03,2025-04,dividend,
CTRE,0,0.05,2025-04,dividend,
PLMR,0.02544,4.16,2025-05,buy,
NVDA,0.0002,0.03,2025-05,buy,
VOO,0.00192,1.0,2025-05,buy,
UNH,0.00977,4.0,2025-05,buy,
NVDA,0.04373,5.0,2025-05,buy,
VCTR,0.08371,5.01,2025-05,buy,
VTI,0.01795,5.0,2025-05,buy,
WELL,0.0272,4.16,2025-05,sell,0.16
WELL,0,0.02,2025-05,dividend,
VTI,0.01644,5.0,2025-06,buy,
VOO,0.0088,5.0,2025-06,buy,
VEEV,0.01754,5.0,2025-06,buy,
NVDA,0.03157,5.0,2025-06,buy,
LMB,0.03559,5.0,2025-06,buy,
EVR,0.01824,5.03,2025-06,buy,
PSTG,0.08923,5.0,2025-06,buy,
FUTU,0.04092,5.0,2025-06,buy,
NFLX,0.00376,4.99,2025-06,buy,
HOOD,0.0604,4.99,2025-06,buy,
UNH,0.0003,0.09,2025-06,buy,
NVDA,0.0012,0.17,2025-06,buy,
MELI,0.00163,4.04,2025-06,buy,
VTI,0.00687,2.0,2025-06,buy,
VOO,0.00367,2.0,2025-06,buy,
VCTR,0.06428,4.0,2025-06,buy,
EVR,0.01728,4.0,2025-06,buy,
NVDA,0.02905,4.0,2025-06,buy,
ATAT,0.12953,4.0,2025-06,buy,
FSLR,0.02386,4.02,2025-06,sell,0.02
VCTR,0,0.07,2025-06,dividend,
UNH,0,0.02,2025-06,dividend,
ATAT,0,0.12,2025-06,dividend,
RAND,0,0.06,2025-06,dividend,
NVDA,0.0002,0.03,2025-07,buy,
TTWO,0.00182,0.42,2025-07,buy,
VCTR,0.0006,0.04,2025-07,buy,
EVR,0.0001,0.03,2025-07,buy,
CTRE,0.0026,0.08,2025-07,buy,
VOO,0.00352,2.0,2025-07,buy,
VTI,0.00662,2.01,2025-07,buy,
MELI,0.00159,4.0,2025-07,buy,
NFLX,0.00306,3.99,2025-07,buy,
HOOD,0.04277,4.0,2025-07,buy,
NVDA,0.02607,4.0,2025-07,buy,
INDB,0.006,0.42,2025-07,sell,0.02
FR,0,0.03,2025-07,dividend,
CTRE,0,0.05,2025-07,dividend,
VTI,0,0.05,2025-07,dividend,
VOO,0,0.04,2025-07,dividend,
VOO,0.00031,0.18,2025-08,buy,
NVDA,0.01112,2.0,2025-08,buy,
IBIT,0.04349,3.0,2025-08,buy,
PSKY,0.33355,5.0,2025-08,buy,
PSKY,0.46725,5.03,2025-08,buy,
VOO,0.00172,0.99,2025-08,buy,
VTI,0.00326,1.01,2025-08,buy,
VCTR,0.01469,1.0,2025-08,buy,
EVR,0.00334,1.0,2025-08,buy,
HOOD,0.00963,1.0,2025-08,buy,
FUTU,0.00671,1.0,2025-08,buy,
ATAT,0.02913,1.0,2025-08,buy,
NVDA,0.00562,1.0,2025-08,buy,
PGR,0.01652,4.0,2025-08,buy,
SPOT,0.00596,3.99,2025-08,buy,
IBIT,0.06148,4.01,2025-08,buy,
WMT,0.010016,1.03,2025-09,buy,
MU,0.00702,1.1,2025-09,buy,
HOOD,0.01673,2.05,2025-09,buy,
SCHG,0.033125,1.05,2025-09,buy,
BETZ,0.134693,3.3,2025-09,buy,
VOOG,0.023092,10.0,2025-09,buy,
QQQ,0.00191,1.12,2025-09,buy,
SCHG,0.107523,3.38,2025-09,buy,
WMT,0.015332,1.59,2025-09,buy,
ATAT,0.120149,4.76,2025-09,buy,
LMB,0.061764,6.35,2025-09,buy,
NFLX,0.005752,6.88,2025-09,buy,
FUTU,0.045919,8.47,2025-09,buy,
IBIT,0.14571,9.52,2025-09,buy,
NVDA,0.05351,9.52,2025-09,buy,
IAU,0.153829,10.58,2025-09,buy,
SPOT,0.01682,11.64,2025-09,buy,
KGC,0.589094,13.76,2025-09,buy,
HOOD,0.14529,16.93,2025-09,buy,
XSMO,0.136873,10.0,2025-09,buy,
KGC,0.135334,3.02,2025-09,buy,
IAU,0.101907,7.0,2025-09,buy,
VOO,0.003427,2.01,2025-09,buy,
VTI,0.009531,3.0,2025-09,buy,
SOFI,0.20033,5.0,2025-09,buy,
GOOGL,0.024053,5.0,2025-09,buy,
V,0.014317,5.0,2025-09,buy,
UBER,0.053725,5.0,2025-09,buy,
MSFT,0.009944,5.0,2025-09,buy,
HD,0.012278,5.0,2025-09,buy,
WMT,0.051357,5.0,2025-09,buy,
PGR,0.01652,4.04,2025-09,sell,0.04
FLUT,0.01535,4.26,2025-09,sell,0.22
XSMO,0.136873,10.0,2025-09,sell,0.0
SCHG,0,0.01,2025-09,dividend,
VOOG,0,0.01,2025-09,dividend,
VCTR,0,0.08,2025-09,dividend,
UNH,0,0.02,2025-09,dividend,
HD,0,0.03,2025-09,dividend,
GOOGL,0,0.01,2025-09,dividend,
RAND,0,0.06,2025-09,dividend,
EVR,0,0.03,2025-09,dividend,
SMH,0.002902,1.07,2025-10,buy,
APLD,0.02892,1.0,2025-10,buy,
RGTI,0.025356,1.0,2025-10,buy,
PLTR,0.010065,2.0,2025-10,buy,
AIQ,0.018818,1.0,2025-10,buy,
VRT,0.00715,1.43,2025-10,buy,
SMH,0.008143,3.0,2025-10,buy,
QTUM,0.026242,3.0,2025-10,buy,
ANET,0.012178,2.0,2025-10,buy,
CRDO,0.011251,2.0,2025-10,buy,
MSFT,0.004364,2.35,2025-10,buy,
INTR,0.104876,1.0,2025-10,buy,
IBIT,0.052104,3.33,2025-10,buy,
SMH,0.008977,3.33,2025-10,buy,
VOOG,0.007302,3.33,2025-10,buy,
QQQ,0.005235,3.33,2025-10,buy,
ANET,0.014237,2.27,2025-10,buy,
SOFI,0.073605,2.27,2025-10,buy,
MU,0.009809,2.27,2025-10,buy,
VOO,0.00526,3.33,2025-10,buy,
GOOGL,0.004533,1.22,2025-10,buy,
VTI,0.009836,3.33,2025-10,buy,
QTUM,0.029107,3.33,2025-10,buy,
SCHG,0.098787,3.33,2025-10,buy,
SPOT,0.003329,2.22,2025-10,buy,
AIQ,0.062119,3.33,2025-10,buy,
QBTS,0.099325,3.33,2025-10,buy,
HOOD,0.025975,3.78,2025-10,buy,
VRT,0.020231,4.0,2025-10,buy,
NVDA,0.021042,4.44,2025-10,buy,
CRDO,0.027038,4.56,2025-10,buy,
RGTI,0.141335,5.44,2025-10,buy,
APLD,0.177081,6.22,2025-10,buy,
PLTR,0.031539,6.22,2025-10,buy,
TSLA,0.002222,1.0,2025-10,buy,
GOOGL,0.008334,2.0,2025-10,buy,
MU,0.029225,5.0,2025-10,buy,
ANET,0.008522,1.24,2025-10,buy,
IBIT,0.030025,2.0,2025-10,buy,
AIQ,0.04042,2.0,2025-10,buy,
QQQ,0.00334,2.0,2025-10,buy,
GOOGL,0.004152,1.0,2025-10,buy,
FUTU,0.005761,1.0,2025-10,buy,
EVR,0.00339,1.13,2025-10,buy,
MU,0.006641,1.13,2025-10,buy,
SE,0.017861,3.25,2025-10,buy,
VOO,0.003273,2.0,2025-10,buy,
VTI,0.006107,2.0,2025-10,buy,
QTUM,0.019029,2.0,2025-10,buy,
VOOG,0.004036,1.75,2025-10,buy,
NFLX,0.001704,2.0,2025-10,buy,
SOFI,0.111503,3.0,2025-10,buy,
SCHG,0.098304,3.13,2025-10,buy,
IAU,0.058263,4.25,2025-10,buy,
SPOT,0.006366,4.5,2025-10,buy,
KGC,0.183402,4.63,2025-10,buy,
NVDA,0.031143,5.75,2025-10,buy,
CRDO,0.048853,7.0,2025-10,buy,
PLTR,0.042405,7.75,2025-10,buy,
HOOD,0.059369,8.38,2025-10,buy,
VEEV,0.01754,5.07,2025-10,sell,0.07
EVR,0.04235,12.43,2025-10,sell,1.24
VCTR,0.12644,8.0,2025-10,sell,0.33
QQQ,0,0.01,2025-10,dividend,
MU,0,0.01,2025-10,dividend,
FR,0,0.03,2025-10,dividend,
CTRE,0,0.05,2025-10,dividend,
VTI,0,0.07,2025-10,dividend,
VOO,0,0.05,2025-10,dividend,
PSKY,0,0.04,2025-10,dividend,
VTI,0.021759,6.96,2025-11,buy,
IAU,0.130429,10.0,2025-11,buy,
CTRE,0.138131,5.0,2025-11,buy,
SCHG,0.059613,1.93,2025-11,buy,
QQQ,0.004657,2.89,2025-11,buy,
KGC,0.90783,21.96,2025-11,sell,0.55
RAND,0.20809,2.87,2025-11,sell,-1.14
OSTX,1.0,1.93,2025-11,sell,-3.66
IAU,0.025226,2.06,2025-12,buy,
QQQ,0.008168,5.0,2025-12,buy,
VOO,0.012787,8.0,2025-12,buy,
QQQ,0.001601,1.0,2025-12,buy,
GOOGL,0.003208,1.02,2025-12,buy,
QQQ,0.006478,4.04,2025-12,buy,
QTUM,0.008797,1.0,2025-12,buy,
CRDO,0.005856,1.0,2025-12,buy,
VOO,0.007946,5.0,2025-12,buy,
PSTG,0.013833,1.0,2025-12,buy,
GOOGL,0.006329,2.0,2025-12,buy,
GOOGL,0.006254,2.0,2025-12,buy,
PSTG,0.028351,2.0,2025-12,buy,
PSTG,0.028805,2.0,2025-12,buy,
PSTG,0.02876,2.0,2025-12,buy,
VRT,0.033447,6.06,2025-12,buy,
HOOD,0.008081,1.0,2025-12,buy,
PSTG,0.011378,1.0,2025-12,buy,
NVDA,0.008353,1.5,2025-12,buy,
GOOGL,0.003161,1.0,2025-12,buy,
PLTR,0.040112,6.72,2025-12,buy,
CTRE,0.188588,7.04,2025-12,buy,
WMT,0.176621,19.68,2025-12,buy,
IAU,0.200562,16.0,2025-12,buy,
QQQ,0.006484,4.0,2025-12,buy,
VTI,0.0239,8.0,2025-12,buy,
VOO,0.012786,8.0,2025-12,buy,
FUTU,0.09267,15.0,2025-12,sell,0.69
FR,0.0698,4.04,2025-12,sell,0.03
BETZ,0,0.13,2025-12,dividend,
QQQ,0,0.04,2025-12,dividend,
QTUM,0,0.04,2025-12,dividend,
SMH,0,0.02,2025-12,dividend,
VTI,0,0.13,2025-12,dividend,
VOOG,0,0.02,2025-12,dividend,
VOO,0,0.13,2025-12,dividend,
VCTR,0,0.02,2025-12,dividend,
ATAT,0,0.19,2025-12,dividend,
